Pitney Bowes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM Weight Break by Account-Carrier-Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name,,,Carrier,,,Class,,,,,,,,,04/02/2026,to,,04/02/2026,,,,,,12/31/2025,to,,04/03/2026,,,,,
,,,,,,,,,,,,Weight  (oz.),,,Pieces,,Total Cost,,,,,Pieces,,,,Total Cost,,,,,,
8393,,,,,,,,,,--,,9742,,,,,,,--,,,,,,,,,,,,,
,,,NOCARRIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NOCLASS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0,,,0,,0.000,,,,,86,,,,0.000,,,,,,
,,,,,,,,,,,,4.0,,,0,,0.000,,,,,5,,,,37.800,,,,,,
,,,,,,,,,,,,16.0,,,0,,0.000,,,,,4,,,,41.600,,,,,,
,,NOCLASS,,,,,,,Sub Total,,,,,,0,,0.000,,,,,95,,,,79.400,,,,,,
,,NOCARRIER,,,,,,,Sub Total,,,,,,0,,0.000,,,,,95,,,,79.400,,,,,,
,,,USPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1CA5DFlt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,0,,0.000,,,,,5,,,,4.850,,,,,,
,,,,,,,,,,,,2.0,,,0,,0.000,,,,,102,,,,126.480,,,,,,
,,,,,,,,,,,,3.0,,,0,,0.000,,,,,170,,,,256.700,,,,,,
,,,,,,,,,,,,4.0,,,4,,7.120,,,,,96,,,,170.880,,,,,,
,,,,,,,,,,,,5.0,,,0,,0.000,,,,,78,,,,160.680,,,,,,
,,,,,,,,,,,,6.0,,,0,,0.000,,,,,32,,,,74.880,,,,,,
,,,,,,,,,,,,7.0,,,0,,0.000,,,,,17,,,,44.540,,,,,,
,,,,,,,,,,,,8.0,,,0,,0.000,,,,,13,,,,37.700,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report On Working Database,,,,,,,,,,,,,,,,,,,,,,,,,,,Page :,1,/,407,,
"Business Manager Report Database: Friday, April 3, 2026 7:26:17 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name,,,Carrier,,,Class,,,,,,,,,04/02/2026,to,,04/02/2026,,,,,,12/31/2025,to,,04/03/2026,,,,,
,,,,,,,,,,,,Weight  (oz.),,,Pieces,,Total Cost,,,,,Pieces,,,,Total Cost,,,,,,
,,,,,,,,,,,,9.0,,,0,,0.000,,,,,3,,,,9.540,,,,,,
,,,,,,,,,,,,10.0,,,0,,0.000,,,,,1,,,,3.480,,,,,,
,,1CA5DFlt,,,,,,,Sub Total,,,,,,4,,7.120,,,,,517,,,,889.730,,,,,,
,,,,,,1ClFlat,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,0,,0.000,,,,,72,,,,117.360,,,,,,
,,,,,,,,,,,,2.0,,,1,,1.900,,,,,107,,,,203.300,,,,,,
,,,,,,,,,,,,3.0,,,2,,4.340,,,,,67,,,,145.390,,,,,,
,,,,,,,,,,,,4.0,,,1,,2.440,,,,,23,,,,56.120,,,,,,
,,,,,,,,,,,,5.0,,,0,,0.000,,,,,16,,,,43.520,,,,,,
,,,,,,,,,,,,6.0,,,0,,0.000,,,,,10,,,,30.000,,,,,,
,,,,,,,,,,,,7.0,,,0,,0.000,,,,,12,,,,39.360,,,,,,
,,,,,,,,,,,,8.0,,,1,,3.560,,,,,13,,,,46.280,,,,,,
,,,,,,,,,,,,9.0,,,1,,3.840,,,,,14,,,,53.760,,,,,,
,,,,,,,,,,,,10.0,,,0,,0.000,,,,,11,,,,45.540,,,,,,
,,,,,,,,,,,,11.0,,,0,,0.000,,,,,13,,,,57.720,,,,,,
,,,,,,,,,,,,12.0,,,0,,0.000,,,,,6,,,,28.440,,,,,,
,,,,,,,,,,,,13.0,,,0,,0.000,,,,,3,,,,15.120,,,,,,
,,1ClFlat,,,,,,,Sub Total,,,,,,6,,16.080,,,,,367,,,,881.910,,,,,,
,,,,,,1CMAADCL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,321,,215.712,,,,,"12,906",,,,"8,672.832",,,,,,
,,,,,,,,,,,,2.0,,,0,,0.000,,,,,"1,214",,,,815.808,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report On Working Database,,,,,,,,,,,,,,,,,,,,,,,,,,,Page :,2,/,407,,
"Business Manager Report Database: Friday, April 3, 2026 7:26:17 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name,,,Carrier,,,Class,,,,,,,,,04/02/2026,to,,04/02/2026,,,,,,12/31/2025,to,,04/03/2026,,,,,
,,,,,,,,,,,,Weight  (oz.),,,Pieces,,Total Cost,,,,,Pieces,,,,Total Cost,,,,,,
,,,,,,,,,,,,3.0,,,0,,0.000,,,,,290,,,,194.880,,,,,,
,,1CMAADCL,,,,,,,Sub Total,,,,,,321,,215.712,,,,,14410,,,,"9,683.520",,,,,,
,,,,,,1CNAPres,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,0,,0.000,,,,,39,,,,26.754,,,,,,
,,1CNAPres,,,,,,,Sub Total,,,,,,0,,0.000,,,,,39,,,,26.754,,,,,,
,,,,,,1CSPiece,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,13,,67.820,,,,,"1,175",,,,"1,927.201",,,,,,
,,,,,,,,,,,,2.0,,,0,,0.000,,,,,60,,,,81.200,,,,,,
,,,,,,,,,,,,3.0,,,0,,0.000,,,,,26,,,,34.320,,,,,,
,,,,,,,,,,,,3.0,,,0,,0.000,,,,,7,,,,11.270,,,,,,
,,1CSPiece,,,,,,,Sub Total,,,,,,13,,67.820,,,,,1268,,,,"2,053.991",,,,,,
,,,,,,1stClNMLtr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,,,0,,0.000,,,,,84,,,,103.320,,,,,,
,,,,,,,,,,,,2.0,,,0,,0.000,,,,,1,,,,1.520,,,,,,
,,1stClNMLtr,,,,,,,Sub Total,,,,,,0,,0.000,,,,,85,,,,104.840,,,,,,
,,,,,,OtherCls,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"1,120.0",,,0,,0.000,,,,,7,,,,1.571,,,,,,
,,OtherCls,,,,,,,Sub Total,,,,,,0,,0.000,,,,,7,,,,1.571,,,,,,
,,,,,,PkgSRetG,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32.0,,,0,,0.000,,,,,4,,,,49.300,,,,,,
,,,,,,,,,,,,80.0,,,0,,0.000,,,,,1,,,,16.250,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custom Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report On Working Database,,,,,,,,,,,,,,,,,,,,,,,,,,,Page :,3,/,407,,
"Business Manager Report Database: Friday, April 3, 2026 7:26:17 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Name,,,Carrier,,,Class,,,,,,,,,04/02/2026,to,,04/02/2026,,,,,,12/31/2025,to,,04/03/2026,,,,,
,,,,,,,,,,,,Weight  (oz.),,,Pieces,,Total Cost,,,,,Pieces,,,,Total Cost,,,,,,
